"日付","始値","高値","安値","終値","前日比","出来高","貸株残高","融資残高","貸借倍率","逆日歩","特別空売り料","5DMA","25DMA","5DVMA","25DVMA"
"2015/04/03","774.6","780.8","768.5","779.9","+9.1","6,418,000","640,000","187,000","0.29","0.05","-","763.2","751.2","8,386,200","7,966,360"
"2015/04/06","776.6","785.4","773.2","781.9","+2.0","3,502,000","623,000","217,000","0.35","0.00","-","768.0","752.8","7,815,400","7,817,480"
"2015/04/07","792.7","801.4","779.3","781.6","-0.3","10,224,000","544,000","359,000","0.66","0.05","-","773.2","754.1","7,928,800","7,812,440"
"2015/04/08","796.6","799.1","780.3","799.1","+17.5","12,200,000","707,000","268,000","0.38","0.00","-","782.8","756.7","8,499,400","7,960,920"
"2015/04/09","802.0","804.6","793.7","799.5","+0.4","7,177,000","597,000","238,000","0.40","0.05","-","788.6","759.0","7,904,200","7,992,840"
"2015/04/10","800.9","801.1","781.3","785.9","-13.6","14,673,000","605,000","371,000","0.61","0.00","-","789.8","760.9","9,555,200","8,257,600"
"2015/04/13","772.1","775.1","754.3","758.2","-27.7","14,905,000","442,000","781,000","1.77","-","-","785.0","761.9","11,835,800","8,592,680"
"2015/04/14","758.8","764.9","754.3","761.2","+3.0","8,054,000","394,000","364,000","0.92","0.00","-","780.8","763.5","11,401,800","8,584,120"
"2015/04/15","757.1","761.6","748.8","749.8","-11.4","8,849,000","400,000","538,000","1.35","-","-","771.0","764.5","10,731,600","8,697,200"
"2015/04/16","743.5","747.0","738.6","747.0","-2.8","9,760,000","260,000","760,000","2.92","-","-","760.4","765.0","11,248,200","8,774,120"
"2015/04/17","736.0","743.8","735.1","740.4","-6.6","6,259,000","250,000","446,000","1.78","-","-","751.2","764.6","9,565,400","8,350,640"
"2015/04/20","735.3","739.2","730.7","731.5","-8.9","7,115,000","266,000","328,000","1.23","-","-","746.0","764.3","8,007,400","8,403,040"
"2015/04/21","736.1","747.8","733.1","746.9","+15.4","7,792,000","261,000","183,000","0.70","0.00","-","743.2","763.9","7,955,000","8,358,120"
"2015/04/22","746.9","747.9","741.3","744.1","-2.8","6,180,000","242,000","291,000","1.20","-","-","742.0","763.2","7,421,200","8,314,960"
"2015/04/23","749.0","751.4","744.5","748.9","+4.8","5,921,000","217,000","223,000","1.03","-","-","742.4","762.6","6,653,400","8,267,880"
"2015/04/24","752.9","753.6","746.1","748.2","-0.7","4,259,000","189,000","199,000","1.05","-","-","744.0","762.0","6,253,400","8,122,640"
"2015/04/27","744.1","751.8","737.1","743.0","-5.2","6,646,000","174,000","218,000","1.25","-","-","746.2","761.0","6,159,600","8,148,440"
"2015/04/28","750.0","764.6","728.3","736.0","-7.0","14,336,000","104,000","267,000","2.57","-","-","744.0","759.9","7,468,400","8,382,560"
"2015/04/30","707.1","714.5","691.4","692.5","-43.5","19,886,000","86,000","148,000","1.72","-","-","733.8","757.0","10,209,600","8,864,160"
"2015/05/01","689.0","691.1","668.7","677.5","-15.0","17,095,000","85,000","293,000","3.45","-","-","719.6","753.8","12,444,400","9,306,680"
"2015/05/07","671.1","677.2","665.6","673.0","-4.5","12,744,000","231,000","336,000","1.45","-","-","704.6","750.5","14,141,400","9,580,320"
"2015/05/08","672.8","687.7","666.1","687.7","+14.7","12,219,000","243,000","294,000","1.21","-","-","693.6","747.7","15,256,000","9,814,840"
"2015/05/11","699.5","699.8","688.9","690.7","+3.0","9,349,000","91,000","305,000","3.35","-","-","684.6","745.1","14,258,600","9,802,520"
"2015/05/12","687.5","695.8","686.0","692.5","+1.8","9,129,000","237,000","224,000","0.95","0.00","-","684.6","742.8","12,107,200","9,793,800"
"2015/05/13","683.7","695.3","682.0","690.3","-2.2","8,048,000","128,000","312,000","2.44","-","-","687.0","739.6","10,297,800","9,709,600"
"2015/05/14","688.9","690.4","683.2","684.1","-6.2","7,925,000","111,000","225,000","2.03","-","-","689.2","735.7","9,334,000","9,769,880"
"2015/05/15","684.9","685.0","666.0","670.5","-13.6","14,376,000","118,000","427,000","3.62","-","-","685.8","731.3","9,765,400","10,204,840"
"2015/05/18","672.6","677.1","668.6","673.7","+3.2","12,968,000","80,000","346,000","4.33","-","-","682.4","727.0","10,489,200","10,314,600"
"2015/05/19","671.3","676.8","669.3","673.5","-0.2","10,022,000","69,000","295,000","4.28","-","-","678.6","722.0","10,667,800","10,227,480"
"2015/05/20","675.7","679.8","672.0","677.3","+3.8","10,957,000","67,000","390,000","5.82","-","-","676.0","717.0","11,249,600","10,378,680"
"2015/05/21","681.5","682.0","672.1","679.1","+1.8","10,818,000","65,000","492,000","7.57","-","-","675.0","712.8","11,828,200","10,224,480"
"2015/05/22","679.6","680.2","674.3","677.2","-1.9","5,729,000","62,000","480,000","7.74","-","-","676.2","709.5","10,098,800","9,857,440"
"2015/05/25","682.0","684.9","677.2","680.4","+3.2","7,420,000","60,000","479,000","7.98","-","-","677.4","706.3","8,989,200","9,832,080"
"2015/05/26","683.6","685.5","682.1","682.2","+1.8","6,076,000","70,000","289,000","4.13","-","-","679.0","703.6","8,200,000","9,721,160"
"2015/05/27","682.0","682.2","673.3","673.9","-8.3","10,077,000","70,000","244,000","3.49","-","-","678.4","700.6","8,024,000","9,733,840"
"2015/05/28","673.9","684.1","670.1","683.4","+9.5","13,284,000","81,000","176,000","2.17","-","-","679.2","698.4","8,517,200","10,014,840"
"2015/05/29","689.7","699.9","687.0","688.1","+4.7","13,745,000","83,000","184,000","2.22","-","-","681.4","696.6","10,120,400","10,280,040"
"2015/06/01","677.8","688.0","676.1","686.9","-1.2","7,826,000","91,000","170,000","1.87","-","-","682.8","694.2","10,201,600","10,281,400"
"2015/06/02","692.0","697.1","687.4","695.4","+8.5","9,542,000","114,000","132,000","1.16","-","-","685.4","692.2","10,894,800","10,415,880"
"2015/06/03","700.0","703.4","689.0","695.0","-0.4","10,775,000","149,000","334,000","2.24","-","-","689.6","690.1","11,034,400","10,610,040"
"2015/06/04","694.8","694.8","680.0","680.1","-14.9","11,680,000","73,000","465,000","6.37","-","-","689.0","687.4","10,713,600","10,906,880"
"2015/06/05","675.0","684.6","672.9","682.1","+2.0","10,199,000","137,000","205,000","1.50","-","-","687.8","684.9","10,004,400","11,049,000"
"2015/06/08","677.7","686.6","677.7","681.5","-0.6","8,904,000","83,000","207,000","2.49","-","-","686.8","682.8","10,220,000","10,831,720"
"2015/06/09","676.5","695.6","676.0","690.6","+9.1","14,020,000","146,000","166,000","1.14","-","-","686.0","682.7","11,115,600","10,597,080"
"2015/06/10","692.1","702.9","686.9","697.3","+6.7","14,092,000","113,000","212,000","1.88","-","-","686.4","683.4","11,779,000","10,476,960"
"2015/06/11","695.1","707.9","693.6","704.4","+7.1","15,031,000","91,000","160,000","1.76","-","-","691.2","684.7","12,449,200","10,568,440"
"2015/06/12","701.5","701.9","690.4","692.5","-11.9","15,624,000","60,000","511,000","8.52","-","-","693.4","684.9","13,534,200","10,704,640"
"2015/06/15","682.5","696.5","681.8","694.9","+2.4","9,631,000","165,000","209,000","1.27","-","-","696.0","685.0","13,679,600","10,715,920"
"2015/06/16","689.9","698.0","689.9","695.2","+0.3","5,791,000","225,000","172,000","0.76","0.00","-","696.8","685.1","12,033,800","10,582,400"
"2015/06/17","697.3","701.1","687.8","688.3","-6.9","7,184,000","204,000","265,000","1.30","-","-","695.0","685.0","10,652,200","10,547,840"
"2015/06/18","685.0","689.9","680.5","687.0","-1.3","6,998,000","204,000","220,000","1.08","-","-","691.6","685.2","9,045,600","10,510,760"
"2015/06/19","678.9","682.6","668.4","670.9","-16.1","15,182,000","267,000","503,000","1.88","-","-","687.2","685.2","8,957,200","10,543,000"
"2015/06/22","669.5","685.0","669.4","684.0","+13.1","8,192,000","227,000","198,000","0.87","0.00","-","685.0","685.6","8,669,400","10,351,960"
"2015/06/23","688.0","699.1","683.3","696.8","+12.8","9,938,000","221,000","161,000","0.73","0.00","-","685.4","686.5","9,498,800","10,348,600"
"2015/06/24","696.3","697.6","686.5","686.5","-10.3","11,073,000","225,000","275,000","1.22","-","-","685.2","686.9","10,276,600","10,353,240"
"2015/06/25","678.6","687.0","673.3","673.3","-13.2","10,171,000","225,000","478,000","2.12","-","-","682.4","686.6","10,911,200","10,327,360"
"2015/06/26","676.8","678.3","666.1","671.4","-1.9","6,103,000","218,000","298,000","1.37","-","-","682.4","686.4","9,095,400","10,342,320"
"2015/06/29","655.1","662.5","653.7","657.0","-14.4","7,613,000","221,000","293,000","1.33","-","-","677.0","685.5","8,979,600","10,350,040"
"2015/06/30","660.6","663.1","647.7","650.0","-7.0","11,212,000","219,000","351,000","1.60","-","-","667.6","684.2","9,234,400","10,555,480"
"2015/07/01","652.6","654.0","640.8","642.3","-7.7","9,770,000","224,000","431,000","1.92","-","-","658.6","682.9","8,973,800","10,543,200"
"2015/07/02","650.4","655.9","647.1","651.2","+8.9","8,475,000","243,000","317,000","1.30","-","-","654.2","681.6","8,634,600","10,350,840"
"2015/07/03","650.0","661.1","647.3","651.2","0.0","9,000,000","243,000","284,000","1.17","-","-","650.2","680.2","9,214,000","10,161,040"
"2015/07/06","641.2","649.6","641.2","644.6","-6.6","7,094,000","244,000","394,000","1.61","-","-","647.8","678.5","9,110,200","10,131,760"
"2015/07/07","656.7","659.9","652.9","656.9","+12.3","7,997,000","299,000","375,000","1.25","-","-","649.2","677.0","8,467,200","10,069,960"
"2015/07/08","649.1","654.3","643.0","643.0","-13.9","9,021,000","295,000","410,000","1.39","-","-","649.4","674.9","8,317,400","9,999,800"
"2015/07/09","638.7","642.0","630.1","640.3","-2.7","9,580,000","350,000","404,000","1.15","-","-","647.2","673.3","8,538,400","9,915,800"
"2015/07/10","646.6","653.1","641.3","642.8","+2.5","11,964,000","427,000","386,000","0.90","0.00","-","645.6","671.7","9,131,200","9,986,400"
"2015/07/13","649.1","663.1","646.6","661.5","+18.7","7,917,000","438,000","329,000","0.75","0.00","-","649.0","670.9","9,295,800","9,946,920"
