"日付","始値","高値","安値","終値","前日比","出来高","貸株残高","融資残高","貸借倍率","逆日歩","特別空売り料","5DMA","25DMA","5DVMA","25DVMA"
"2015/02/23","578.0","582.0","571.0","572.0","-3.0","96,700","65,800","80,600","1.22","-","-","574.8","535.6","147,260","137,416"
"2015/02/24","572.0","581.0","568.0","573.0","+1.0","116,700","69,300","78,700","1.13","-","-","572.8","538.8","135,160","138,384"
"2015/02/25","577.0","580.0","571.0","579.0","+6.0","103,200","55,200","85,500","1.55","-","-","574.0","541.9","117,400","139,776"
"2015/02/26","580.0","594.0","576.0","594.0","+15.0","176,200","47,500","83,500","1.76","-","-","578.6","545.8","120,000","145,016"
"2015/02/27","591.0","591.0","574.0","577.0","-17.0","162,700","27,500","39,700","1.44","-","-","579.0","549.0","131,100","149,624"
"2015/03/02","595.0","602.0","589.0","599.0","+22.0","257,400","40,600","76,100","1.87","-","-","584.4","552.9","163,240","157,252"
"2015/03/03","603.0","603.0","587.0","588.0","-11.0","108,200","31,700","84,600","2.67","-","-","587.4","556.3","161,540","159,124"
"2015/03/04","583.0","583.0","577.0","579.0","-9.0","77,600","27,300","85,900","3.15","-","-","587.4","559.2","156,420","159,724"
"2015/03/05","572.0","584.0","572.0","575.0","-4.0","75,600","24,200","60,900","2.52","-","-","583.6","561.4","136,300","153,560"
"2015/03/06","576.0","579.0","568.0","569.0","-6.0","155,900","17,700","15,700","0.89","0.00","-","582.0","563.5","134,940","151,692"
"2015/03/09","563.0","572.0","563.0","565.0","-4.0","58,000","20,900","18,900","0.90","0.00","-","575.2","565.0","95,060","145,016"
"2015/03/10","568.0","568.0","561.0","562.0","-3.0","71,600","19,000","23,700","1.25","-","-","570.0","566.0","87,740","139,948"
"2015/03/11","559.0","561.0","556.0","559.0","-3.0","101,200","17,000","24,500","1.44","-","-","566.0","567.6","92,460","139,184"
"2015/03/12","562.0","563.0","557.0","562.0","+3.0","107,500","16,000","19,300","1.21","-","-","563.4","568.7","98,840","140,012"
"2015/03/13","567.0","580.0","565.0","574.0","+12.0","208,300","24,000","24,200","1.01","-","-","564.4","570.2","109,320","142,208"
"2015/03/16","575.0","578.0","572.0","574.0","0.0","43,100","23,300","23,000","0.99","0.00","-","566.2","571.7","106,340","139,744"
