"日付","始値","高値","安値","終値","前日比","出来高","貸株残高","融資残高","貸借倍率","逆日歩","特別空売り料","5DMA","25DMA","5DVMA","25DVMA"
"2015/04/28","3,967.0","4,100.0","3,967.0","4,049.5","+122.0","3,559,900","269,900","46,100","0.17","0.05","-","3,901.0","3,732.2","2,608,360","2,324,776"
"2015/04/30","4,015.0","4,065.0","3,882.5","3,882.5","-167.0","4,328,800","158,800","90,400","0.57","0.05","-","3,919.6","3,739.7","3,060,140","2,406,180"
"2015/05/01","3,859.0","3,877.0","3,810.5","3,867.0","-15.5","2,070,800","109,300","74,800","0.68","0.05","-","3,926.0","3,747.8","3,138,460","2,408,856"
"2015/05/07","3,810.0","3,875.0","3,782.5","3,856.0","-11.0","2,131,800","112,400","20,000","0.18","0.05","-","3,916.8","3,755.8","2,965,120","2,398,696"
"2015/05/08","3,809.0","3,877.0","3,801.0","3,864.0","+8.0","1,859,600","121,200","13,000","0.11","0.05","-","3,904.0","3,764.1","2,790,180","2,359,660"
"2015/05/11","3,934.0","3,972.0","3,815.0","3,827.5","-36.5","2,519,000","108,000","9,800","0.09","0.05","-","3,859.6","3,772.7","2,582,000","2,344,300"
"2015/05/12","3,750.0","4,130.0","3,750.0","4,126.5","+299.0","8,704,000","540,100","3,300","0.01","0.10","-","3,908.4","3,795.9","3,457,040","2,525,584"
"2015/05/13","4,035.0","4,086.0","4,016.0","4,060.0","-66.5","3,875,100","409,800","5,000","0.01","0.00","-","3,947.0","3,813.2","3,817,900","2,567,196"
"2015/05/14","4,000.5","4,075.5","4,000.5","4,062.5","+2.5","2,563,000","377,000","5,100","0.01","0.05","-","3,988.4","3,829.1","3,904,140","2,622,192"
"2015/05/15","4,092.0","4,114.5","4,054.0","4,100.0","+37.5","1,474,400","403,700","5,700","0.01","0.05","-","4,035.6","3,847.3","3,827,100","2,630,148"
"2015/05/18","4,109.0","4,156.0","4,088.5","4,133.0","+33.0","2,026,900","413,300","4,600","0.01","0.05","-","4,096.6","3,866.8","3,728,680","2,638,116"
"2015/05/19","4,150.0","4,157.0","4,104.5","4,119.5","-13.5","1,499,000","413,600","3,100","0.01","0.05","-","4,095.2","3,884.4","2,287,680","2,620,828"
"2015/05/20","4,142.0","4,234.5","4,127.0","4,215.0","+95.5","2,214,800","490,000","4,100","0.01","0.05","-","4,126.2","3,906.0","1,955,620","2,605,720"
"2015/05/21","4,234.0","4,264.0","4,206.0","4,226.5","+11.5","1,773,800","489,300","1,200","0.00","0.10","-","4,159.0","3,928.4","1,797,780","2,578,504"
"2015/05/22","4,230.0","4,237.5","4,181.0","4,203.5","-23.0","1,787,600","458,600","1,300","0.00","0.05","-","4,179.8","3,947.5","1,860,420","2,548,196"
"2015/05/25","4,230.0","4,258.5","4,212.5","4,226.5","+23.0","811,900","456,300","1,400","0.00","0.05","-","4,198.6","3,968.0","1,617,420","2,501,668"
"2015/05/26","4,237.0","4,259.5","4,223.0","4,236.0","+9.5","936,600","453,800","1,400","0.00","0.05","-","4,221.8","3,988.4","1,504,940","2,458,696"
"2015/05/27","4,210.5","4,282.0","4,180.5","4,274.5","+38.5","1,945,900","446,200","1,400","0.00","0.05","-","4,233.8","4,007.0","1,451,160","2,449,352"
