"日付","始値","高値","安値","終値","前日比","出来高","貸株残高","融資残高","貸借倍率","逆日歩","特別空売り料","5DMA","25DMA","5DVMA","25DVMA"
"2015/02/23","207.0","211.0","205.0","209.0","+2.0","390,000","259,000","578,000","2.23","-","-","204.4","196.1","473,000","621,720"
"2015/02/24","209.0","217.0","208.0","210.0","+1.0","1,040,000","243,000","629,000","2.59","-","-","206.4","197.1","649,200","658,640"
"2015/02/25","210.0","215.0","208.0","213.0","+3.0","783,000","245,000","603,000","2.46","-","-","209.4","197.9","773,000","678,200"
"2015/02/26","214.0","216.0","211.0","213.0","0.0","344,000","239,000","548,000","2.29","-","-","210.4","198.2","671,000","445,720"
"2015/02/27","212.0","214.0","209.0","210.0","-3.0","488,000","238,000","492,000","2.06","-","-","211.0","198.8","609,000","390,040"
"2015/03/02","210.0","212.0","209.0","210.0","0.0","140,000","238,000","495,000","2.08","-","-","211.2","199.5","559,000","347,600"
"2015/03/03","211.0","211.0","203.0","206.0","-4.0","266,000","235,000","498,000","2.12","-","-","210.4","200.0","404,200","345,640"
"2015/03/04","204.0","205.0","203.0","204.0","-2.0","142,000","235,000","504,000","2.14","-","-","208.6","200.4","276,000","334,480"
"2015/03/05","204.0","206.0","204.0","205.0","+1.0","119,000","238,000","499,000","2.10","-","-","207.0","200.8","231,000","326,480"
"2015/03/06","207.0","208.0","204.0","206.0","+1.0","147,000","240,000","467,000","1.95","-","-","206.2","201.3","162,800","319,120"
"2015/03/09","204.0","207.0","204.0","205.0","-1.0","107,000","242,000","469,000","1.94","-","-","205.2","201.8","156,200","316,360"
"2015/03/10","206.0","209.0","205.0","206.0","+1.0","188,000","288,000","472,000","1.64","-","-","205.2","202.4","140,600","311,720"
"2015/03/11","205.0","206.0","204.0","205.0","-1.0","175,000","270,000","478,000","1.77","-","-","205.4","203.0","147,200","311,480"
"2015/03/12","205.0","208.0","204.0","206.0","+1.0","158,000","257,000","386,000","1.50","-","-","205.6","203.5","155,000","309,120"
"2015/03/13","207.0","208.0","206.0","207.0","+1.0","231,000","257,000","367,000","1.43","-","-","205.8","204.1","171,800","313,560"
"2015/03/16","207.0","209.0","206.0","206.0","-1.0","146,000","257,000","359,000","1.40","-","-","206.0","204.7","179,600","313,200"
"2015/03/17","208.0","208.0","205.0","207.0","+1.0","130,000","256,000","378,000","1.48","-","-","206.2","205.2","168,000","309,680"
"2015/03/18","207.0","210.0","206.0","209.0","+2.0","217,000","256,000","345,000","1.35","-","-","207.0","205.7","176,400","312,520"
"2015/03/19","208.0","208.0","204.0","204.0","-5.0","136,000","256,000","345,000","1.35","-","-","206.6","206.0","172,000","306,600"
"2015/03/20","204.0","206.0","202.0","205.0","+1.0","131,000","255,000","343,000","1.35","-","-","206.2","206.2","152,000","305,760"
"2015/03/23","206.0","207.0","204.0","206.0","+1.0","121,000","255,000","344,000","1.35","-","-","206.2","206.6","147,000","302,960"
"2015/03/24","205.0","206.0","203.0","205.0","-1.0","101,000","256,000","347,000","1.36","-","-","205.8","206.8","141,200","300,640"
"2015/03/25","206.0","208.0","205.0","207.0","+2.0","102,000","256,000","342,000","1.34","-","-","205.4","207.1","118,200","298,160"
"2015/03/26","205.0","206.0","204.0","205.0","-2.0","175,000","257,000","317,000","1.23","-","-","205.6","207.0","126,000","271,000"
"2015/03/27","203.0","207.0","201.0","204.0","-1.0","140,000","255,000","343,000","1.35","-","-","205.4","206.9","127,800","244,680"
"2015/03/30","205.0","205.0","201.0","201.0","-3.0","87,000","255,000","311,000","1.22","-","-","204.4","206.6","121,000","232,560"
"2015/03/31","205.0","205.0","201.0","202.0","+1.0","69,000","265,000","294,000","1.11","-","-","203.8","206.2","114,600","193,720"
"2015/04/01","201.0","201.0","198.0","201.0","-1.0","137,000","260,000","292,000","1.12","-","-","202.6","205.8","121,600","167,880"
"2015/04/02","201.0","202.0","199.0","202.0","+1.0","140,000","259,000","285,000","1.10","-","-","202.0","205.3","114,600","159,720"
"2015/04/03","203.0","203.0","200.0","202.0","0.0","90,000","268,000","284,000","1.06","-","-","201.6","205.0","104,600","143,800"
"2015/04/06","202.0","203.0","200.0","202.0","0.0","63,000","254,000","288,000","1.12","-","-","201.8","204.7","99,800","140,720"
"2015/04/07","202.0","205.0","202.0","205.0","+3.0","111,000","254,000","299,000","1.18","-","-","202.4","204.6","108,200","134,520"
"2015/04/08","205.0","209.0","204.0","209.0","+4.0","155,000","266,000","293,000","1.10","-","-","204.0","204.8","111,800","135,040"
"2015/04/09","209.0","209.0","206.0","206.0","-3.0","101,000","263,000","288,000","1.10","-","-","204.8","204.9","104,000","134,320"
"2015/04/10","205.0","206.0","202.0","203.0","-3.0","160,000","261,000","296,000","1.12","-","-","205.0","204.8","118,000","134,840"
"2015/04/13","204.0","205.0","202.0","204.0","+1.0","64,000","261,000","305,000","1.17","-","-","205.4","204.7","118,200","133,120"
"2015/04/14","204.0","205.0","202.0","203.0","-1.0","105,000","261,000","312,000","1.20","-","-","205.0","204.6","117,000","129,800"
"2015/04/15","203.0","205.0","203.0","205.0","+2.0","52,000","260,000","302,000","1.15","-","-","204.2","204.6","96,400","124,880"
"2015/04/16","205.0","205.0","203.0","204.0","-1.0","66,000","259,000","305,000","1.18","-","-","203.8","204.5","89,400","121,200"
"2015/04/17","203.0","205.0","202.0","202.0","-2.0","98,000","259,000","303,000","1.17","-","-","203.6","204.3","77,000","115,880"
"2015/04/20","201.0","203.0","201.0","201.0","-1.0","78,000","259,000","309,000","1.19","-","-","203.0","204.1","79,800","113,160"
"2015/04/21","201.0","203.0","201.0","202.0","+1.0","36,000","266,000","307,000","1.14","-","-","202.8","203.9","66,000","109,400"
"2015/04/22","202.0","204.0","201.0","203.0","+1.0","76,000","266,000","304,000","1.13","-","-","202.4","203.7","70,800","103,760"
"2015/04/23","203.0","204.0","201.0","202.0","-1.0","212,000","261,000","301,000","1.14","-","-","202.0","203.6","100,000","106,800"
"2015/04/24","202.0","203.0","201.0","202.0","0.0","84,000","255,000","312,000","1.22","-","-","202.0","203.5","97,200","104,920"
"2015/04/27","203.0","203.0","201.0","202.0","0.0","102,000","252,000","303,000","1.20","-","-","202.2","203.3","102,000","104,160"
"2015/04/28","204.0","205.0","203.0","205.0","+3.0","77,000","251,000","296,000","1.18","-","-","202.8","203.3","110,200","103,200"
"2015/04/30","202.0","204.0","201.0","201.0","-4.0","123,000","248,000","295,000","1.19","-","-","202.4","203.1","119,600","104,040"
"2015/05/01","201.0","203.0","200.0","200.0","-1.0","49,000","245,000","302,000","1.23","-","-","202.0","202.9","87,000","99,000"
"2015/05/07","199.0","201.0","197.0","198.0","-2.0","126,000","246,000","307,000","1.25","-","-","201.2","202.6","95,400","98,440"
"2015/05/08","198.0","202.0","197.0","201.0","+3.0","124,000","223,000","297,000","1.33","-","-","201.0","202.6","99,800","99,920"
"2015/05/11","203.0","206.0","202.0","205.0","+4.0","131,000","219,000","299,000","1.37","-","-","201.0","202.8","110,600","102,400"
"2015/05/12","204.0","208.0","204.0","208.0","+3.0","309,000","168,000","297,000","1.77","-","-","202.4","203.0","147,800","109,280"
"2015/05/13","206.0","210.0","205.0","210.0","+2.0","376,000","144,000","316,000","2.19","-","-","204.4","203.4","213,200","118,720"
"2015/05/14","209.0","211.0","204.0","208.0","-2.0","664,000","138,000","286,000","2.06","-","-","206.4","203.6","320,800","141,680"
"2015/05/15","208.0","208.0","204.0","206.0","-2.0","197,000","137,000","289,000","2.11","-","-","207.4","203.8","335,400","147,040"
"2015/05/18","205.0","205.0","202.0","203.0","-3.0","242,000","98,000","278,000","2.84","-","-","207.0","203.7","357,600","152,280"
"2015/05/19","203.0","205.0","202.0","205.0","+2.0","206,000","92,000","283,000","3.08","-","-","206.4","203.5","337,000","154,320"
"2015/05/20","205.0","206.0","201.0","202.0","-3.0","308,000","90,000","320,000","3.56","-","-","204.8","203.4","323,400","162,600"
"2015/05/21","202.0","203.0","201.0","202.0","0.0","234,000","85,000","283,000","3.33","-","-","203.6","203.3","237,400","165,560"
"2015/05/22","202.0","203.0","201.0","202.0","0.0","147,000","83,000","260,000","3.13","-","-","202.8","203.2","227,400","168,880"
"2015/05/25","202.0","203.0","201.0","202.0","0.0","202,000","80,000","275,000","3.44","-","-","202.6","203.2","219,400","172,760"
"2015/05/26","202.0","202.0","201.0","202.0","0.0","226,000","78,000","288,000","3.69","-","-","202.0","203.1","223,400","179,720"
"2015/05/27","201.0","203.0","200.0","202.0","0.0","285,000","72,000","297,000","4.13","-","-","202.0","203.0","218,800","188,480"
"2015/05/28","202.0","203.0","201.0","202.0","0.0","251,000","68,000","301,000","4.43","-","-","202.0","203.0","222,200","194,600"
