"日付","始値","高値","安値","終値","前日比","出来高","貸株残高","融資残高","貸借倍率","逆日歩","特別空売り料","5DMA","25DMA","5DVMA","25DVMA"
"2015/03/02","535.0","546.0","535.0","544.0","+9.0","859,000","90,000","75,000","0.83","0.05","-","534.0","500.9","1,100,800","894,080"
"2015/03/03","542.0","546.0","532.0","538.0","-6.0","677,000","97,000","61,000","0.63","0.05","-","536.2","502.7","944,200","900,240"
"2015/03/04","540.0","540.0","530.0","532.0","-6.0","435,000","97,000","73,000","0.75","0.05","-","537.6","504.3","793,200","901,440"
"2015/03/05","538.0","538.0","528.0","531.0","-1.0","579,000","98,000","70,000","0.71","0.05","-","536.0","506.0","688,000","901,240"
"2015/03/06","526.0","533.0","523.0","529.0","-2.0","774,000","97,000","66,000","0.68","0.05","-","534.8","507.8","664,800","904,320"
"2015/03/09","527.0","535.0","525.0","528.0","-1.0","631,000","96,000","59,000","0.61","0.05","-","531.6","509.0","619,200","889,880"
"2015/03/10","532.0","532.0","522.0","527.0","-1.0","609,000","93,000","61,000","0.66","0.05","-","529.4","511.2","605,600","853,960"
"2015/03/11","520.0","529.0","520.0","525.0","-2.0","498,000","85,000","54,000","0.64","0.05","-","528.0","511.8","618,200","795,120"
"2015/03/12","526.0","533.0","523.0","531.0","+6.0","584,000","85,000","50,000","0.59","0.05","-","528.0","513.7","619,200","738,040"
"2015/03/13","536.0","540.0","532.0","535.0","+4.0","860,000","87,000","44,000","0.51","0.05","-","529.2","515.5","636,400","744,480"
"2015/03/16","539.0","546.0","538.0","544.0","+9.0","907,000","83,000","59,000","0.71","0.05","-","532.4","517.8","691,600","748,880"
"2015/03/17","545.0","546.0","536.0","538.0","-6.0","890,000","71,000","31,000","0.44","0.00","-","534.6","519.8","747,800","762,880"
"2015/03/18","543.0","543.0","536.0","537.0","-1.0","727,000","48,000","48,000","1.00","-","-","537.0","521.9","793,600","763,560"
"2015/03/19","535.0","539.0","527.0","529.0","-8.0","823,000","44,000","57,000","1.30","-","-","536.6","523.0","841,400","762,520"
"2015/03/20","529.0","531.0","523.0","528.0","-1.0","669,000","45,000","28,000","0.62","0.05","-","535.2","524.6","803,200","764,080"
"2015/03/23","532.0","544.0","532.0","543.0","+15.0","685,000","49,000","40,000","0.82","0.00","-","535.0","526.5","758,800","774,960"
"2015/03/24","552.0","572.0","552.0","567.0","+24.0","2,621,000","51,000","138,000","2.71","-","-","540.8","529.6","1,105,000","852,640"
"2015/03/25","573.0","577.0","556.0","564.0","-3.0","1,113,000","40,000","129,000","3.23","-","-","546.2","532.4","1,182,200","875,880"
"2015/03/26","562.0","563.0","549.0","555.0","-9.0","711,000","37,000","112,000","3.03","-","-","551.4","534.8","1,159,800","870,080"
"2015/03/27","551.0","563.0","545.0","551.0","-4.0","927,000","38,000","85,000","2.24","-","-","556.0","536.5","1,211,400","872,640"
"2015/03/30","557.0","563.0","550.0","556.0","+5.0","639,000","37,000","86,000","2.31","-","-","558.6","538.3","1,202,200","874,520"
"2015/03/31","557.0","572.0","547.0","567.0","+11.0","1,538,000","58,000","76,000","1.31","-","-","558.6","539.9","985,600","877,640"
"2015/04/01","562.0","565.0","551.0","553.0","-14.0","737,000","44,000","92,000","2.09","-","-","556.4","541.0","910,400","859,520"
"2015/04/02","555.0","566.0","547.0","562.0","+9.0","729,000","36,000","74,000","2.06","-","-","557.8","541.9","914,000","844,480"
"2015/04/03","560.0","576.0","560.0","575.0","+13.0","780,000","37,000","81,000","2.19","-","-","562.6","543.5","884,600","840,080"
"2015/04/06","570.0","573.0","567.0","573.0","-2.0","415,000","38,000","79,000","2.08","-","-","566.0","544.7","839,800","822,320"
"2015/04/07","571.0","572.0","563.0","566.0","-7.0","641,000","32,000","94,000","2.94","-","-","565.8","545.8","660,400","820,880"
"2015/04/08","565.0","566.0","558.0","561.0","-5.0","659,000","41,000","96,000","2.34","-","-","567.4","547.0","644,800","829,840"
"2015/04/09","567.0","573.0","564.0","566.0","+5.0","684,000","35,000","98,000","2.80","-","-","568.2","548.4","635,800","834,040"
"2015/04/10","569.0","570.0","558.0","570.0","+4.0","727,000","74,000","73,000","0.99","0.00","-","567.2","550.0","625,200","832,160"
"2015/04/13","571.0","573.0","561.0","569.0","-1.0","759,000","35,000","78,000","2.23","-","-","566.4","551.6","694,000","837,280"
"2015/04/14","566.0","572.0","565.0","570.0","+1.0","522,000","36,000","71,000","1.97","-","-","567.2","553.4","670,200","833,800"
"2015/04/15","564.0","570.0","561.0","568.0","-2.0","471,000","37,000","70,000","1.89","-","-","568.6","555.1","632,600","832,720"
"2015/04/16","561.0","565.0","548.0","561.0","-7.0","1,092,000","39,000","78,000","2.00","-","-","567.6","556.3","714,200","853,040"
"2015/04/17","557.0","560.0","550.0","552.0","-9.0","572,000","44,000","81,000","1.84","-","-","564.0","557.0","683,200","841,520"
"2015/04/20","550.0","552.0","545.0","549.0","-3.0","390,000","53,000","81,000","1.53","-","-","560.0","557.2","609,400","820,840"
"2015/04/21","555.0","565.0","551.0","565.0","+16.0","533,000","59,000","62,000","1.05","-","-","559.0","558.2","611,600","806,560"
"2015/04/22","563.0","566.0","557.0","563.0","-2.0","492,000","45,000","41,000","0.91","0.00","-","558.0","559.3","615,800","797,160"
"2015/04/23","563.0","566.0","558.0","561.0","-2.0","396,000","58,000","43,000","0.74","0.00","-","558.0","560.6","476,600","780,080"
"2015/04/24","560.0","562.0","556.0","558.0","-3.0","306,000","45,000","62,000","1.38","-","-","559.2","561.8","423,400","765,560"
"2015/04/27","560.0","564.0","556.0","558.0","0.0","311,000","48,000","53,000","1.10","-","-","561.0","562.4","407,600","750,600"
"2015/04/28","558.0","562.0","556.0","561.0","+3.0","401,000","49,000","50,000","1.02","-","-","560.2","562.1","381,200","661,800"
"2015/04/30","558.0","559.0","547.0","553.0","-8.0","698,000","48,000","60,000","1.25","-","-","558.2","561.7","422,400","645,200"
"2015/05/01","554.0","556.0","546.0","551.0","-2.0","563,000","46,000","62,000","1.35","-","-","556.2","561.5","455,800","639,280"
"2015/05/07","548.0","557.0","543.0","544.0","-7.0","414,000","54,000","76,000","1.41","-","-","553.4","561.2","477,400","618,760"
"2015/05/08","542.0","545.0","532.0","540.0","-4.0","597,000","50,000","74,000","1.48","-","-","549.8","560.6","534,600","617,080"
"2015/05/11","559.0","559.0","547.0","556.0","+16.0","505,000","56,000","67,000","1.20","-","-","548.8","560.2","555,400","575,760"
"2015/05/12","555.0","557.0","540.0","545.0","-11.0","903,000","74,000","92,000","1.24","-","-","547.2","559.8","596,400","582,400"
"2015/05/13","544.0","550.0","540.0","546.0","+1.0","483,000","69,000","69,000","1.00","-","-","546.2","559.2","580,400","572,560"
"2015/05/14","545.0","546.0","536.0","537.0","-9.0","551,000","70,000","83,000","1.19","-","-","544.8","557.7","607,800","563,400"
