"日付","始値","高値","安値","終値","前日比","出来高","貸株残高","融資残高","貸借倍率","逆日歩","特別空売り料","5DMA","25DMA","5DVMA","25DVMA"
"2015/02/23","803.0","807.0","790.0","795.0","-8.0","26,100","3,300","8,300","2.52","-","-","796.0","792.9","21,080","22,952"
"2015/02/24","795.0","800.0","793.0","797.0","+2.0","17,900","3,000","8,500","2.83","-","-","797.8","793.1","22,380","23,400"
"2015/02/25","799.0","801.0","795.0","799.0","+2.0","16,600","3,200","8,400","2.63","-","-","798.6","793.2","20,860","23,612"
"2015/02/26","800.0","807.0","798.0","802.0","+3.0","14,600","3,400","8,200","2.41","-","-","799.2","793.8","20,520","23,812"
"2015/02/27","802.0","804.0","792.0","792.0","-10.0","10,100","2,700","8,900","3.30","-","-","797.0","793.0","17,060","22,048"
"2015/03/02","792.0","796.0","792.0","793.0","+1.0","10,400","3,200","8,800","2.75","-","-","796.6","792.1","13,920","20,940"
"2015/03/03","793.0","795.0","792.0","795.0","+2.0","2,700","3,100","8,800","2.84","-","-","796.2","790.9","10,880","19,976"
"2015/03/04","795.0","795.0","791.0","791.0","-4.0","10,900","2,400","8,800","3.67","-","-","794.6","789.4","9,740","19,460"
"2015/03/05","791.0","796.0","790.0","793.0","+2.0","5,900","2,800","8,600","3.07","-","-","792.8","787.7","8,000","18,648"
"2015/03/06","795.0","801.0","792.0","799.0","+6.0","10,700","2,500","8,800","3.52","-","-","794.2","786.2","8,120","18,588"
"2015/03/09","800.0","804.0","796.0","802.0","+3.0","12,800","2,400","10,800","4.50","-","-","796.0","787.5","8,600","15,108"
"2015/03/10","802.0","803.0","790.0","791.0","-11.0","10,700","2,400","11,500","4.79","-","-","795.2","788.6","10,200","14,220"
"2015/03/11","789.0","799.0","787.0","795.0","+4.0","14,200","2,400","10,500","4.38","-","-","796.0","789.7","10,860","13,920"
"2015/03/12","800.0","807.0","798.0","805.0","+10.0","23,400","3,500","3,900","1.11","-","-","798.4","791.2","14,360","14,204"
"2015/03/13","808.0","814.0","800.0","811.0","+6.0","55,000","4,600","3,900","0.85","0.00","-","800.8","792.9","23,220","15,664"
