"日付","始値","高値","安値","終値","前日比","出来高","貸株残高","融資残高","貸借倍率","逆日歩","特別空売り料","5DMA","25DMA","5DVMA","25DVMA"
"2015/04/23","841.0","849.0","837.9","842.5","+5.5","34,984,000","5,000","1,872,000","374.40","-","-","815.8","822.3","35,213,000","23,073,840"
"2015/04/24","841.8","842.6","835.7","836.7","-5.8","17,526,000","4,000","1,749,000","437.25","-","-","824.4","822.5","30,345,800","22,956,720"
"2015/04/27","836.0","842.1","831.4","838.3","+1.6","12,335,000","4,000","1,699,000","424.75","-","-","832.4","822.6","27,761,800","22,802,440"
"2015/04/28","839.8","841.6","834.5","837.0","-1.3","15,536,000","4,000","1,662,000","415.50","-","-","838.4","822.5","26,235,400","22,545,320"
"2015/04/30","830.9","832.6","819.1","819.3","-17.7","22,886,000","4,000","2,853,000","713.25","-","-","834.8","821.7","20,653,400","22,733,040"
"2015/05/01","815.0","820.0","811.0","818.8","-0.5","18,186,000","0","2,075,000","0.00","-","-","830.0","821.2","17,293,800","22,732,560"
"2015/05/07","820.6","822.5","812.2","815.3","-3.5","19,150,000","10,000","2,620,000","262.00","-","-","825.6","820.6","17,618,600","22,444,840"
"2015/05/08","816.2","826.6","811.0","822.9","+7.6","15,533,000","0","2,426,000","0.00","-","-","822.6","820.4","18,258,200","22,311,080"
"2015/05/11","831.7","835.4","818.3","824.3","+1.4","17,527,000","0","2,470,000","0.00","-","-","820.0","820.4","18,656,400","22,182,280"
"2015/05/12","820.1","824.7","815.4","824.7","+0.4","14,081,000","0","2,127,000","0.00","-","-","821.2","820.8","16,895,400","21,844,960"
"2015/05/13","824.7","833.7","819.5","831.8","+7.1","14,476,000","7,000","2,087,000","298.14","-","-","823.8","820.8","16,153,400","21,566,000"
"2015/05/14","835.0","840.4","830.0","838.3","+6.5","20,958,000","0","2,057,000","0.00","-","-","828.4","821.1","16,515,000","21,855,000"
"2015/05/15","849.9","852.8","835.4","839.8","+1.5","28,782,000","101,000","1,724,000","17.07","-","-","831.8","821.6","19,164,800","22,488,080"
"2015/05/18","843.0","854.0","841.9","852.6","+12.8","25,402,000","5,000","1,707,000","341.40","-","-","837.6","822.7","20,739,800","22,707,400"
"2015/05/19","855.8","857.6","848.8","850.0","-2.6","18,158,000","5,000","1,748,000","349.60","-","-","842.6","823.7","21,555,200","22,615,200"
"2015/05/20","857.0","858.0","846.2","847.3","-2.7","19,019,000","1,000","1,640,000","1,640.00","-","-","845.6","825.0","22,463,800","22,273,240"
"2015/05/21","846.6","854.7","846.1","848.7","+1.4","16,683,000","0","1,572,000","0.00","-","-","847.8","826.6","21,608,800","21,843,200"
"2015/05/22","852.9","852.9","843.3","850.0","+1.3","15,412,000","0","1,587,000","0.00","-","-","849.8","828.2","18,934,800","21,837,080"
"2015/05/25","850.0","852.0","844.1","846.1","-3.9","16,748,000","21,000","1,835,000","87.38","-","-","848.4","829.4","17,204,000","22,072,840"
"2015/05/26","841.7","845.9","833.2","835.3","-10.8","23,522,000","8,000","2,268,000","283.50","-","-","845.4","830.6","18,276,800","21,974,000"
"2015/05/27","836.0","851.3","832.3","845.2","+9.9","23,556,000","3,000","2,397,000","799.00","-","-","845.0","832.0","19,184,200","22,061,640"
"2015/05/28","850.4","852.3","845.5","848.3","+3.1","21,779,000","0","3,222,000","0.00","-","-","844.8","834.2","20,203,400","21,258,320"
"2015/05/29","848.9","852.6","846.0","850.0","+1.7","23,971,000","10,000","2,226,000","222.60","-","-","844.8","836.2","21,915,200","21,206,960"
"2015/06/01","845.0","845.7","837.0","844.3","-5.7","18,750,000","12,000","1,601,000","133.42","-","-","844.4","837.7","22,315,600","21,030,240"
"2015/06/02","847.6","856.8","842.3","846.4","+2.1","22,658,000","3,000","1,404,000","468.00","-","-","846.6","838.1","22,142,800","19,904,720"
"2015/06/03","841.0","844.4","835.5","841.5","-4.9","15,890,000","1,000","1,364,000","1,364.00","-","-","846.0","838.0","20,609,600","19,140,960"
"2015/06/04","842.5","844.8","839.6","844.4","+2.9","13,174,000","89,000","1,437,000","16.15","-","-","845.2","838.3","18,888,600","18,966,880"
"2015/06/05","839.0","839.9","830.5","835.0","-9.4","21,149,000","53,000","1,602,000","30.23","-","-","842.2","838.2","18,324,200","19,319,440"
"2015/06/08","840.0","840.1","830.1","832.2","-2.8","12,956,000","15,000","1,725,000","115.00","-","-","839.8","838.0","17,165,400","19,216,240"
"2015/06/09","828.5","838.7","824.3","825.1","-7.1","24,178,000","30,000","1,540,000","51.33","-","-","835.6","838.2","17,469,400","19,267,920"
"2015/06/10","828.1","838.4","824.3","825.6","+0.5","20,254,000","3,000","1,713,000","571.00","-","-","832.4","838.5","18,342,200","19,350,640"
"2015/06/11","834.0","851.0","830.5","838.5","+12.9","28,026,000","0","1,919,000","0.00","-","-","831.4","839.5","21,312,600","19,705,680"
"2015/06/12","849.0","849.5","842.4","844.6","+6.1","23,992,000","30,000","1,701,000","56.70","-","-","833.4","840.4","21,881,200","20,044,040"
"2015/06/15","839.7","847.8","837.5","842.2","-2.4","10,868,000","29,000","1,434,000","49.45","-","-","835.4","841.1","21,463,600","19,777,680"
"2015/06/16","841.6","841.6","830.3","832.4","-9.8","16,279,000","33,000","1,669,000","50.58","-","-","836.8","841.4","19,883,800","19,865,600"
"2015/06/17","837.5","838.0","824.6","828.5","-3.9","13,958,000","30,000","1,514,000","50.47","-","-","837.4","841.2","18,624,600","19,844,880"
"2015/06/18","827.1","828.0","816.7","819.3","-9.2","16,874,000","40,000","1,526,000","38.15","-","-","833.4","840.5","16,394,200","19,681,520"
"2015/06/19","826.9","831.7","824.0","826.6","+7.3","17,569,000","57,000","1,370,000","24.04","-","-","829.8","840.0","15,109,600","19,233,000"
"2015/06/22","824.6","833.2","822.1","829.7","+3.1","18,037,000","45,000","1,396,000","31.02","-","-","827.4","839.0","16,543,400","18,938,400"
"2015/06/23","833.7","840.1","828.3","839.8","+10.1","24,733,000","320,000","1,874,000","5.86","-","-","829.0","838.6","18,234,200","19,201,400"
"2015/06/24","842.0","849.2","841.0","843.4","+3.6","19,816,000","29,000","1,716,000","59.17","-","-","831.8","838.5","19,405,800","19,233,280"
"2015/06/25","836.9","839.2","832.6","836.6","-6.8","13,739,000","15,000","2,636,000","175.73","-","-","835.4","838.0","18,778,800","19,115,520"
"2015/06/26","831.1","835.4","821.2","829.5","-7.1","15,859,000","15,000","1,314,000","87.60","-","-","836.0","837.2","18,436,800","19,133,400"
"2015/06/29","808.9","813.6","802.2","807.7","-21.8","24,188,000","50,000","1,748,000","34.96","-","-","831.6","835.7","19,667,000","19,431,000"
"2015/06/30","807.6","808.0","802.7","806.8","-0.9","17,887,000","1,000","1,540,000","1,540.00","-","-","825.0","834.6","18,297,800","19,205,600"
"2015/07/01","810.0","810.2","800.0","800.6","-6.2","20,555,000","3,000","2,479,000","826.33","-","-","816.6","832.8","18,445,600","19,085,560"
"2015/07/02","806.7","812.0","802.0","802.4","+1.8","17,250,000","0","1,958,000","0.00","-","-","809.6","831.0","19,147,800","18,904,400"
"2015/07/03","807.0","807.3","801.2","804.4","+2.0","16,496,000","2,000","2,504,000","1,252.00","-","-","804.4","829.1","19,275,200","18,605,400"
"2015/07/06","798.1","798.1","789.2","791.8","-12.6","28,691,000","31,000","2,516,000","81.16","-","-","801.2","827.0","20,175,800","19,003,040"
"2015/07/07","797.3","806.5","795.8","800.0","+8.2","18,554,000","15,000","2,654,000","176.93","-","-","799.8","825.2","20,309,200","18,838,880"
