"日付","始値","高値","安値","終値","前日比","出来高","貸株残高","融資残高","貸借倍率","逆日歩","特別空売り料","5DMA","25DMA","5DVMA","25DVMA"
"2015/04/24","736.0","738.0","732.0","734.0","-3.0","1,416,000","52,000","27,000","0.52","0.00","-","734.8","749.9","1,712,200","2,154,320"
"2015/04/27","736.0","744.0","733.0","739.0","+5.0","1,932,000","33,000","53,000","1.61","-","-","738.0","748.0","1,788,400","2,158,120"
"2015/04/28","739.0","747.0","738.0","741.0","+2.0","1,878,000","45,000","19,000","0.42","0.00","-","738.0","746.5","1,734,200","2,132,800"
"2015/04/30","738.0","738.0","721.0","724.0","-17.0","3,294,000","20,000","138,000","6.90","-","-","735.0","744.0","2,045,800","2,158,960"
"2015/05/01","723.0","726.0","710.0","718.0","-6.0","2,233,000","33,000","144,000","4.36","-","-","731.2","741.7","2,150,600","2,093,720"
"2015/05/07","711.0","724.0","709.0","718.0","0.0","2,592,000","24,000","92,000","3.83","-","-","728.0","740.0","2,385,800","2,049,240"
"2015/05/08","718.0","720.0","709.0","711.0","-7.0","2,354,000","74,000","70,000","0.95","0.00","-","722.4","737.9","2,470,200","2,052,480"
"2015/05/11","722.0","722.0","714.0","716.0","+5.0","1,550,000","76,000","70,000","0.92","0.00","-","717.4","736.8","2,404,600","1,989,240"
"2015/05/12","716.0","719.0","704.0","710.0","-6.0","2,569,000","91,000","103,000","1.13","-","-","714.6","735.7","2,259,600","1,958,200"
"2015/05/13","701.0","708.0","700.0","704.0","-6.0","1,973,000","96,000","86,000","0.90","0.00","-","711.8","733.7","2,207,600","1,931,640"
"2015/05/14","700.0","704.0","686.0","687.0","-17.0","2,861,000","94,000","173,000","1.84","-","-","705.6","731.1","2,261,400","1,985,520"
"2015/05/15","697.0","717.0","690.0","716.0","+29.0","3,013,000","83,000","79,000","0.95","0.00","-","706.6","729.8","2,393,200","2,060,800"
"2015/05/18","716.0","732.0","716.0","732.0","+16.0","2,191,000","86,000","41,000","0.48","0.00","-","709.8","728.8","2,521,400","2,049,160"
"2015/05/19","736.0","749.0","735.0","744.0","+12.0","3,048,000","71,000","74,000","1.04","-","-","716.6","728.3","2,617,200","2,089,720"
"2015/05/20","747.0","750.0","742.0","749.0","+5.0","2,522,000","80,000","55,000","0.69","0.00","-","725.6","728.3","2,727,000","2,127,600"
"2015/05/21","747.0","754.0","745.0","751.0","+2.0","3,394,000","44,000","134,000","3.05","-","-","738.4","728.6","2,833,600","2,173,800"
"2015/05/22","752.0","759.0","752.0","759.0","+8.0","2,870,000","49,000","32,000","0.65","0.00","-","747.0","729.6","2,805,000","2,208,120"
"2015/05/25","761.0","762.0","757.0","760.0","+1.0","1,763,000","23,000","70,000","3.04","-","-","752.6","730.4","2,719,400","2,228,960"
"2015/05/26","756.0","761.0","753.0","756.0","-4.0","1,501,000","15,000","19,000","1.27","-","-","755.0","731.1","2,410,000","2,227,000"
"2015/05/27","756.0","762.0","747.0","751.0","-5.0","3,813,000","22,000","31,000","1.41","-","-","755.4","731.6","2,668,200","2,312,920"
"2015/05/28","754.0","755.0","747.0","750.0","-1.0","1,616,000","16,000","50,000","3.13","-","-","755.2","732.4","2,312,600","2,301,120"
"2015/05/29","743.0","758.0","743.0","747.0","-3.0","2,481,000","31,000","25,000","0.81","0.00","-","752.8","733.3","2,234,800","2,338,320"
"2015/06/01","741.0","747.0","738.0","745.0","-2.0","1,661,000","71,000","57,000","0.80","0.00","-","749.8","733.5","2,214,400","2,318,800"
"2015/06/02","747.0","755.0","743.0","745.0","0.0","1,597,000","51,000","76,000","1.49","-","-","747.6","733.7","2,233,600","2,313,240"
"2015/06/03","742.0","743.0","735.0","738.0","-7.0","1,292,000","55,000","71,000","1.29","-","-","745.0","733.8","1,729,400","2,296,560"
"2015/06/04","744.0","744.0","732.0","736.0","-2.0","1,981,000","69,000","56,000","0.81","0.00","-","742.2","733.8","1,802,400","2,319,160"
