"日付","始値","高値","安値","終値","前日比","出来高","貸株残高","融資残高","貸借倍率","逆日歩","特別空売り料","5DMA","25DMA","5DVMA","25DVMA"
"2015/02/23","695.0","697.0","690.0","693.0","+8.0","525,000","36,000","81,000","2.25","-","-","683.2","658.9","401,600","328,120"
"2015/02/24","695.0","699.0","695.0","695.0","+2.0","494,000","35,000","100,000","2.86","-","-","686.2","661.0","441,600","335,320"
"2015/02/25","698.0","698.0","686.0","688.0","-7.0","371,000","36,000","109,000","3.03","-","-","689.0","662.8","397,400","336,600"
"2015/02/26","688.0","692.0","686.0","690.0","+2.0","240,000","32,000","112,000","3.50","-","-","690.2","664.8","379,800","326,440"
"2015/02/27","696.0","699.0","691.0","693.0","+3.0","208,000","33,000","104,000","3.15","-","-","691.8","666.5","367,600","321,360"
"2015/03/02","693.0","696.0","690.0","690.0","-3.0","139,000","32,000","106,000","3.31","-","-","691.2","668.0","290,400","318,400"
"2015/03/03","690.0","693.0","682.0","687.0","-3.0","226,000","31,000","117,000","3.77","-","-","689.6","669.5","236,800","324,680"
"2015/03/04","686.0","689.0","681.0","686.0","-1.0","201,000","30,000","122,000","4.07","-","-","689.2","670.6","202,800","327,560"
"2015/03/05","680.0","685.0","678.0","685.0","-1.0","258,000","30,000","84,000","2.80","-","-","688.2","671.8","206,400","333,360"
"2015/03/06","685.0","694.0","685.0","693.0","+8.0","181,000","32,000","86,000","2.69","-","-","688.2","673.7","201,000","331,160"
"2015/03/09","691.0","692.0","686.0","688.0","-5.0","166,000","31,000","102,000","3.29","-","-","687.8","675.2","206,400","332,360"
"2015/03/10","690.0","694.0","682.0","687.0","-1.0","242,000","30,000","69,000","2.29","-","-","687.8","676.8","209,600","331,880"
"2015/03/11","685.0","692.0","684.0","688.0","+1.0","204,000","27,000","68,000","2.52","-","-","688.2","678.4","210,200","325,000"
"2015/03/12","695.0","699.0","693.0","698.0","+10.0","366,000","27,000","56,000","2.06","-","-","690.8","680.4","231,800","324,080"
"2015/03/13","708.0","708.0","696.0","696.0","-2.0","711,000","25,000","59,000","2.36","-","-","691.4","682.0","337,800","339,560"
"2015/03/16","697.0","698.0","679.0","681.0","-15.0","546,000","25,000","70,000","2.80","-","-","690.0","683.1","413,800","351,520"
"2015/03/17","682.0","687.0","675.0","683.0","+2.0","492,000","25,000","70,000","2.80","-","-","689.2","684.1","463,800","356,920"
"2015/03/18","683.0","683.0","668.0","676.0","-7.0","658,000","25,000","80,000","3.20","-","-","686.8","685.0","554,600","367,800"
"2015/03/19","677.0","680.0","673.0","677.0","+1.0","346,000","110,000","70,000","0.64","0.00","-","682.6","685.6","550,600","360,280"
"2015/03/20","677.0","680.0","673.0","679.0","+2.0","412,000","27,000","110,000","4.07","-","-","679.2","686.2","490,800","361,200"
"2015/03/23","679.0","684.0","676.0","679.0","0.0","395,000","27,000","115,000","4.26","-","-","678.8","686.2","460,600","354,560"
"2015/03/24","676.0","687.0","673.0","685.0","+6.0","450,000","24,000","95,000","3.96","-","-","679.2","686.4","452,200","360,800"
