"日付","始値","高値","安値","終値","前日比","出来高","貸株残高","融資残高","貸借倍率","逆日歩","特別空売り料","5DMA","25DMA","5DVMA","25DVMA"
"2015/04/28","536.0","541.0","534.0","539.0","+7.0","3,982,000","169,000","685,000","4.05","-","-","529.2","519.3","3,572,000","3,742,880"
"2015/04/30","544.0","546.0","532.0","536.0","-3.0","4,806,000","143,000","712,000","4.98","-","-","532.4","519.3","3,997,400","3,785,960"
"2015/05/01","534.0","539.0","523.0","529.0","-7.0","3,546,000","143,000","609,000","4.26","-","-","533.2","519.2","3,957,200","3,733,280"
"2015/05/07","522.0","535.0","522.0","530.0","+1.0","3,784,000","103,000","600,000","5.83","-","-","533.2","519.7","3,667,600","3,709,080"
"2015/05/08","534.0","546.0","533.0","544.0","+14.0","5,719,000","103,000","561,000","5.45","-","-","535.6","521.2","4,367,400","3,704,680"
"2015/05/11","547.0","552.0","542.0","549.0","+5.0","5,821,000","93,000","570,000","6.13","-","-","537.6","522.9","4,735,200","3,704,200"
"2015/05/12","575.0","590.0","570.0","588.0","+39.0","17,521,000","368,000","478,000","1.30","-","-","548.0","526.3","7,278,200","4,239,000"
"2015/05/13","582.0","593.0","582.0","589.0","+1.0","6,629,000","424,000","407,000","0.96","0.00","-","560.0","529.7","7,894,800","4,301,840"
"2015/05/14","584.0","589.0","579.0","583.0","-6.0","3,278,000","211,000","407,000","1.93","-","-","570.6","532.8","7,793,600","4,329,800"
"2015/05/15","585.0","585.0","571.0","573.0","-10.0","4,725,000","239,000","387,000","1.62","-","-","576.4","535.5","7,594,800","4,428,320"
"2015/05/18","574.0","582.0","573.0","581.0","+8.0","3,409,000","239,000","365,000","1.53","-","-","582.8","538.3","7,112,400","4,437,200"
"2015/05/19","584.0","585.0","579.0","582.0","+1.0","2,390,000","282,000","361,000","1.28","-","-","581.6","540.9","4,086,200","4,378,720"
"2015/05/20","582.0","582.0","576.0","577.0","-5.0","2,586,000","303,000","300,000","0.99","0.00","-","579.2","543.2","3,277,600","4,353,440"
"2015/05/21","592.0","596.0","581.0","584.0","+7.0","5,302,000","305,000","737,000","2.42","-","-","579.4","545.9","3,682,400","4,446,960"
"2015/05/22","586.0","601.0","583.0","597.0","+13.0","8,373,000","287,000","418,000","1.46","-","-","584.2","549.0","4,412,000","4,636,760"
"2015/05/25","605.0","606.0","595.0","601.0","+4.0","3,277,000","284,000","378,000","1.33","-","-","588.2","552.3","4,385,600","4,688,840"
"2015/05/26","602.0","611.0","597.0","609.0","+8.0","4,198,000","258,000","345,000","1.34","-","-","593.6","555.8","4,747,200","4,716,200"
"2015/05/27","599.0","602.0","594.0","600.0","-9.0","5,287,000","268,000","410,000","1.53","-","-","598.2","558.5","5,287,400","4,696,880"
"2015/05/28","601.0","603.0","591.0","594.0","-6.0","2,593,000","255,000","252,000","0.99","0.00","-","600.2","561.2","4,745,600","4,658,240"
"2015/05/29","594.0","607.0","593.0","605.0","+11.0","4,270,000","258,000","251,000","0.97","0.00","-","601.8","564.5","3,925,000","4,710,120"
"2015/06/01","608.0","615.0","607.0","610.0","+5.0","4,746,000","238,000","349,000","1.47","-","-","603.6","568.2","4,218,800","4,804,800"
"2015/06/02","614.0","626.0","611.0","617.0","+7.0","6,774,000","239,000","244,000","1.02","-","-","605.2","572.1","4,734,000","4,968,600"
"2015/06/03","609.0","614.0","604.0","608.0","-9.0","3,814,000","239,000","234,000","0.98","0.00","-","606.8","575.4","4,439,400","4,971,280"
"2015/06/04","622.0","640.0","622.0","635.0","+27.0","8,613,000","210,000","353,000","1.68","-","-","615.0","579.6","5,643,400","5,106,520"
"2015/06/05","637.0","637.0","620.0","623.0","-12.0","3,767,000","187,000","351,000","1.88","-","-","618.6","583.3","5,542,800","5,168,400"
"2015/06/08","624.0","625.0","616.0","621.0","-2.0","2,492,000","178,000","272,000","1.53","-","-","620.8","586.6","5,092,000","5,108,800"
"2015/06/09","621.0","624.0","612.0","613.0","-8.0","3,253,000","137,000","255,000","1.86","-","-","620.0","589.6","4,387,800","5,046,680"
"2015/06/10","615.0","636.0","609.0","625.0","+12.0","6,143,000","186,000","242,000","1.30","-","-","623.4","593.5","4,853,600","5,150,560"
"2015/06/11","634.0","643.0","631.0","641.0","+16.0","5,524,000","249,000","141,000","0.57","0.00","-","624.6","597.9","4,235,800","5,220,160"
"2015/06/12","635.0","636.0","623.0","628.0","-13.0","4,734,000","222,000","423,000","1.91","-","-","625.6","601.3","4,429,200","5,180,760"
"2015/06/15","628.0","634.0","624.0","631.0","+3.0","2,603,000","191,000","224,000","1.17","-","-","627.6","604.6","4,451,400","5,052,040"
"2015/06/16","639.0","639.0","622.0","626.0","-5.0","2,920,000","191,000","227,000","1.19","-","-","630.2","606.1","4,384,800","4,468,000"
"2015/06/17","631.0","631.0","618.0","621.0","-5.0","2,544,000","149,000","363,000","2.44","-","-","629.4","607.4","3,665,000","4,304,600"
"2015/06/18","617.0","617.0","595.0","597.0","-24.0","5,519,000","155,000","317,000","2.05","-","-","620.6","607.9","3,664,000","4,394,240"
"2015/06/19","596.0","618.0","587.0","618.0","+21.0","8,220,000","286,000","346,000","1.21","-","-","618.6","609.7","4,361,200","4,534,040"
"2015/06/22","614.0","617.0","609.0","616.0","-2.0","1,922,000","284,000","229,000","0.81","0.00","-","615.6","611.1","4,225,000","4,474,560"
"2015/06/23","616.0","618.0","606.0","611.0","-5.0","4,320,000","139,000","390,000","2.81","-","-","612.6","612.3","4,505,000","4,551,760"
"2015/06/24","609.0","613.0","604.0","607.0","-4.0","3,251,000","145,000","273,000","1.88","-","-","609.8","613.5","4,646,400","4,578,360"
"2015/06/25","608.0","609.0","600.0","602.0","-5.0","2,188,000","137,000","280,000","2.04","-","-","610.8","614.2","3,980,200","4,453,800"
"2015/06/26","603.0","608.0","599.0","605.0","+3.0","2,222,000","137,000","233,000","1.70","-","-","608.2","614.5","2,780,600","4,207,760"
"2015/06/29","591.0","598.0","589.0","592.0","-13.0","2,749,000","143,000","265,000","1.85","-","-","603.4","614.2","2,946,000","4,186,640"
"2015/06/30","595.0","600.0","585.0","593.0","+1.0","3,634,000","139,000","264,000","1.90","-","-","599.8","613.5","2,808,800","4,164,080"
"2015/07/01","590.0","595.0","577.0","581.0","-12.0","4,733,000","125,000","307,000","2.46","-","-","594.6","612.8","3,105,200","4,141,920"
"2015/07/02","587.0","588.0","577.0","581.0","0.0","4,417,000","126,000","324,000","2.57","-","-","590.4","612.2","3,551,000","4,214,880"
"2015/07/03","581.0","582.0","572.0","580.0","-1.0","2,917,000","125,000","335,000","2.68","-","-","585.4","611.2","3,690,000","4,160,760"
"2015/07/06","572.0","577.0","565.0","568.0","-12.0","4,329,000","120,000","376,000","3.13","-","-","580.6","609.6","4,006,000","4,144,080"
"2015/07/07","577.0","582.0","572.0","574.0","+6.0","3,605,000","140,000","373,000","2.66","-","-","576.8","607.8","4,000,200","4,017,320"
"2015/07/08","572.0","575.0","558.0","559.0","-15.0","5,886,000","141,000","265,000","1.88","-","-","572.4","605.9","4,230,800","4,100,200"
"2015/07/09","552.0","564.0","538.0","564.0","+5.0","7,757,000","48,000","262,000","5.46","-","-","569.0","603.0","4,898,800","4,065,960"
"2015/07/10","564.0","565.0","555.0","557.0","-7.0","5,557,000","49,000","291,000","5.94","-","-","564.4","600.4","5,426,800","4,137,560"
"2015/07/13","560.0","566.0","558.0","561.0","+4.0","1,960,000","59,000","286,000","4.85","-","-","563.0","598.0","4,953,000","4,116,280"
"2015/07/14","571.0","585.0","570.0","572.0","+11.0","3,405,000","71,000","378,000","5.32","-","-","562.6","596.4","4,913,000","4,122,360"
"2015/07/15","575.0","577.0","560.0","564.0","-8.0","2,664,000","89,000","258,000","2.90","-","-","563.6","593.9","4,268,600","3,983,200"
"2015/07/16","569.0","569.0","560.0","562.0","-2.0","2,873,000","94,000","250,000","2.66","-","-","563.2","590.8","3,291,800","3,877,160"
