"日付","始値","高値","安値","終値","前日比","出来高","貸株残高","融資残高","貸借倍率","逆日歩","特別空売り料","5DMA","25DMA","5DVMA","25DVMA"
"2016/02/01","2,874.0","2,913.0","2,863.0","2,903.0","+72.0","850,700","18,500","25,700","1.39","-","-","2,745.0","2,720.2","1,010,300","840,752"
"2016/02/02","2,839.0","2,898.0","2,839.0","2,867.0","-36.0","596,400","18,800","11,400","0.61","0.00","-","2,798.0","2,721.7","962,980","838,196"
"2016/02/03","2,808.0","2,830.0","2,762.0","2,783.0","-84.0","776,700","23,300","16,900","0.73","0.00","-","2,817.0","2,717.3","949,640","844,448"
"2016/02/04","2,744.0","2,750.0","2,660.0","2,673.0","-110.0","969,900","56,000","35,300","0.63","0.00","-","2,811.4","2,708.1","953,220","858,620"
"2016/02/05","3,025.0","3,175.0","3,005.0","3,080.0","+407.0","3,553,200","213,300","2,200","0.01","0.05","-","2,861.2","2,713.6","1,349,380","980,888"
"2016/02/08","3,040.0","3,105.0","2,980.0","3,070.0","-10.0","1,757,900","161,900","4,400","0.03","0.05","-","2,894.6","2,718.4","1,530,820","1,031,280"
"2016/02/09","2,980.0","2,993.0","2,921.0","2,946.0","-124.0","1,455,600","72,700","5,700","0.08","0.05","-","2,910.4","2,723.9","1,702,660","1,056,220"
"2016/02/10","3,020.0","3,045.0","2,870.0","2,929.0","-17.0","2,113,700","50,300","11,000","0.22","0.00","-","2,939.6","2,728.2","1,970,060","1,111,296"
"2016/02/12","2,844.0","2,844.0","2,714.0","2,767.0","-162.0","2,706,700","81,200","9,600","0.12","0.00","-","2,958.4","2,728.1","2,317,420","1,192,372"
"2016/02/15","2,867.0","3,080.0","2,845.0","3,050.0","+283.0","1,862,200","75,600","8,700","0.12","0.05","-","2,952.4","2,740.7","1,979,220","1,234,908"
"2016/02/16","2,974.0","3,095.0","2,949.0","3,040.0","-10.0","1,301,100","83,700","9,600","0.11","0.05","-","2,946.4","2,754.4","1,887,860","1,222,040"
"2016/02/17","3,025.0","3,045.0","2,917.0","2,960.0","-80.0","1,592,200","62,700","5,100","0.08","0.05","-","2,949.2","2,768.1","1,915,180","1,248,436"
"2016/02/18","3,060.0","3,135.0","3,045.0","3,085.0","+125.0","1,279,800","72,800","7,500","0.10","0.05","-","2,980.4","2,782.6","1,748,400","1,264,424"
"2016/02/19","3,055.0","3,095.0","3,020.0","3,090.0","+5.0","878,100","72,300","5,900","0.08","0.05","-","3,045.0","2,800.7","1,382,680","1,260,460"
"2016/02/22","3,075.0","3,220.0","3,070.0","3,180.0","+90.0","1,085,300","110,200","6,900","0.06","0.05","-","3,071.0","2,823.0","1,227,300","1,275,016"
"2016/02/23","3,180.0","3,200.0","3,095.0","3,110.0","-70.0","1,397,400","75,600","7,900","0.10","0.05","-","3,085.0","2,844.1","1,246,560","1,305,008"
"2016/02/24","3,100.0","3,135.0","3,080.0","3,125.0","+15.0","1,146,600","92,800","7,900","0.09","0.05","-","3,118.0","2,865.1","1,157,440","1,324,600"
"2016/02/25","3,180.0","3,210.0","3,135.0","3,195.0","+70.0","1,182,300","270,900","8,700","0.03","0.05","-","3,140.0","2,893.1","1,137,940","1,339,492"
"2016/02/26","3,220.0","3,245.0","3,190.0","3,195.0","0.0","900,100","114,800","700","0.01","0.05","-","3,161.0","2,923.0","1,142,340","1,343,704"
"2016/02/29","3,195.0","3,215.0","3,130.0","3,150.0","-45.0","1,301,000","106,800","1,400","0.01","0.05","-","3,155.0","2,946.0","1,185,480","1,346,224"
"2016/03/01","3,140.0","3,175.0","3,105.0","3,150.0","0.0","960,200","105,600","3,100","0.03","0.05","-","3,163.0","2,966.8","1,098,040","1,354,716"
"2016/03/02","3,250.0","3,315.0","3,240.0","3,265.0","+115.0","1,258,900","153,000","3,400","0.02","0.05","-","3,191.0","2,993.3","1,120,500","1,371,752"
"2016/03/03","3,225.0","3,255.0","3,160.0","3,190.0","-75.0","1,268,500","129,300","3,800","0.03","0.05","-","3,190.0","3,013.4","1,137,740","1,388,756"
"2016/03/04","3,150.0","3,220.0","3,090.0","3,215.0","+25.0","1,294,800","139,800","5,700","0.04","0.05","-","3,194.0","3,033.9","1,216,680","1,402,468"
"2016/03/07","3,285.0","3,300.0","3,250.0","3,280.0","+65.0","1,343,500","160,900","4,100","0.03","0.05","-","3,220.0","3,051.9","1,225,180","1,393,312"
"2016/03/08","3,280.0","3,300.0","3,210.0","3,250.0","-30.0","1,091,700","139,100","4,100","0.03","0.05","-","3,240.0","3,065.8","1,251,480","1,402,952"
"2016/03/09","3,215.0","3,230.0","3,160.0","3,200.0","-50.0","1,019,700","141,700","4,100","0.03","0.05","-","3,227.0","3,079.1","1,203,640","1,419,884"
"2016/03/10","3,270.0","3,385.0","3,255.0","3,370.0","+170.0","1,391,200","195,100","4,000","0.02","0.05","-","3,263.0","3,102.6","1,228,180","1,444,464"
"2016/03/11","3,335.0","3,440.0","3,330.0","3,405.0","+35.0","2,558,300","183,500","3,100","0.02","0.05","-","3,301.0","3,131.8","1,480,880","1,508,000"
"2016/03/14","3,460.0","3,500.0","3,445.0","3,465.0","+60.0","861,900","176,900","5,200","0.03","0.05","-","3,338.0","3,147.2","1,384,560","1,400,348"
"2016/03/15","3,465.0","3,565.0","3,460.0","3,500.0","+35.0","1,170,100","196,800","6,500","0.03","0.05","-","3,388.0","3,164.4","1,400,240","1,376,836"
"2016/03/16","3,465.0","3,525.0","3,445.0","3,500.0","0.0","813,000","215,800","6,500","0.03","0.05","-","3,448.0","3,186.6","1,358,900","1,351,132"
"2016/03/17","3,540.0","3,575.0","3,470.0","3,500.0","0.0","1,058,100","244,800","5,500","0.02","0.05","-","3,474.0","3,209.4","1,292,280","1,308,908"
"2016/03/18","3,490.0","3,505.0","3,455.0","3,470.0","-30.0","1,199,700","239,500","5,900","0.02","0.05","-","3,487.0","3,237.6","1,020,560","1,248,628"
"2016/03/22","3,500.0","3,565.0","3,485.0","3,525.0","+55.0","985,700","246,000","5,200","0.02","0.10","-","3,499.0","3,256.6","1,045,320","1,213,568"
"2016/03/23","3,495.0","3,515.0","3,465.0","3,475.0","-50.0","863,900","241,400","2,300","0.01","0.05","-","3,494.0","3,274.0","984,080","1,196,080"
"2016/03/24","3,500.0","3,525.0","3,455.0","3,480.0","+5.0","1,200,400","314,600","1,500","0.00","0.05","-","3,490.0","3,294.8","1,061,560","1,180,408"
"2016/03/25","3,495.0","3,530.0","3,490.0","3,505.0","+25.0","747,800","294,200","1,600","0.01","0.05","-","3,491.0","3,311.6","999,500","1,159,128"
"2016/03/28","3,530.0","3,555.0","3,470.0","3,510.0","+5.0","759,000","296,600","5,200","0.02","3.50","-","3,499.0","3,328.4","911,360","1,154,364"
"2016/03/29","3,480.0","3,510.0","3,470.0","3,495.0","-15.0","716,100","261,400","3,700","0.01","0.05","-","3,493.0","3,341.0","857,440","1,139,596"
"2016/03/30","3,475.0","3,550.0","3,455.0","3,490.0","-5.0","1,037,000","264,000","3,700","0.01","0.10","-","3,496.0","3,356.2","892,060","1,125,180"
"2016/03/31","3,510.0","3,535.0","3,390.0","3,390.0","-100.0","1,065,500","244,700","8,700","0.04","0.10","-","3,478.0","3,366.8","865,080","1,121,936"
